miRNA	transcript	r	p.value	number_of_cell_line	m_mean	t_mean	number_of_sample_without_expression
hsa-mir-3198-1	BID	-0.356	0.0261	39	-4.43362694944111	5.71434430492201	250
hsa-mir-3198-2	CBX5	0.19	0.0894	81	-2.96524105238005	3.48679751828045	209
hsa-mir-3199-2	TTC28-AS1	-0.0928	0.159	232	-0.900617264856744	3.0390988655406	52
hsa-mir-32	TMEM245	-0.221	0.00021	277	4.99665634799416	3.49528409983226	1
hsa-mir-3200	OSBP2	0.18	0.00271	275	2.26460145659392	0.890807173471266	9
hsa-mir-3202-1	TMEM187	-0.202	0.437	17	-5.6390759568854	3.33009767689241	270
hsa-mir-320b-2	NVL	-0.181	0.00242	279	2.0294930618449	3.10112941284588	3
hsa-mir-320e	PRKD2	-0.212	0.124	54	-4.16382671169425	4.14728302829519	233
hsa-mir-323a	MEG8	-0.995	0.0622	3	2.02669921528959	-12.382660614975	288
hsa-mir-326	ARRB1	0.185	0.00212	274	2.63268728384621	4.03534970329629	2
hsa-mir-329-1	MEG8	-0.958	0.185	3	-1.17471530477482	-12.382660614975	288
hsa-mir-329-2	MEG8	-0.976	0.138	3	-0.984973254912634	-12.382660614975	288
hsa-mir-330	EML2	0.00963	0.875	270	5.09793364920299	4.9896512787625	0
hsa-mir-335	MEST	0.532	2.07e-21	274	7.76633484972085	5.45398667474469	0
hsa-mir-337	AL117190.1	0.277	0.113	34	4.69976497555061	-7.55322901644953	252
hsa-mir-338	AATK	0.596	3.71e-29	289	9.03073903497193	0.857928011568213	0
hsa-mir-339	C7orf50	0.299	4.64e-07	274	5.70390257600439	6.11051137461355	0
hsa-mir-33a	SREBF2	0.159	0.00844	274	5.58015209120589	5.76994378686817	0
hsa-mir-33b	SREBF1	0.377	1.81e-10	268	2.25208908691687	5.07401485051336	6
hsa-mir-340	RNF130	0.078	0.204	267	4.3585590389753	5.24874181905941	1
hsa-mir-342	EVL	0.413	4.02e-13	284	6.45264666155188	3.44812323520652	0
hsa-mir-346	GRID1	-0.209	0.0669	78	-2.47974509388592	-1.20923902390271	206
hsa-mir-34a	MIR34AHG	0.525	9.29e-22	288	6.97653856923182	0.548811667332258	0
hsa-mir-34b	AP002008.4	0.531	0.0417	15	-0.689770792531679	-8.90171451885703	274
hsa-mir-34c	AP002008.4	-0.0593	0.847	13	1.82644255620985	-8.90171451885703	272
hsa-mir-3605	PHC2	0.0286	0.647	259	1.16883905819208	5.99965302087378	7
hsa-mir-3606	COL3A1	-0.467	0.35	6	-6.90842036565264	8.94271694670918	283
hsa-mir-3607	COX7C	0.177	0.00326	275	6.09585884468306	9.72355292482821	0
hsa-mir-3609	TRRAP	-0.101	0.17	188	-1.14220852922149	3.06075164418655	96
hsa-mir-361	CHM	0.355	1.81e-09	271	8.59499774072184	2.57558305391594	0
hsa-mir-3610	RAD21	0.157	0.01	267	0.34878869767022	6.40358817168002	17
hsa-mir-3611	CUL2	0.0448	0.755	51	-4.28314158483619	3.02544824998504	235
hsa-mir-3612	TMEM132C	0.473	0.527	4	-7.13437085933019	-0.711208788051111	286
hsa-mir-3613	DLEU2	0.32	5.39e-08	276	3.67889551515321	-0.699414558059102	4
hsa-mir-3614	TRIM25	0.178	0.00272	280	2.30950297651676	4.13302087761365	3
hsa-mir-3615	SLC9A3R1	0.147	0.0162	268	2.89671758339547	5.3415400153779	0
hsa-mir-3616	EYA2	-0.197	0.258	35	-4.64773573159239	1.36111421716877	252
hsa-mir-3618	DGCR8	-0.016	0.864	117	-2.30838229002668	2.87592190347907	170
hsa-mir-3619	MIRLET7BHG	0.217	0.0155	124	-2.16207416499375	0.72037037337505	161
hsa-mir-362	CLCN5	0.435	1.24e-14	286	4.60975605946443	1.66626502449492	0
hsa-mir-3620	ARF1	-0.178	0.0993	87	-2.47298262114837	8.60342203022466	192
hsa-mir-3621	LRRC26	0.0439	0.972	3	-8.8191021917093	2.02943212820443	288
hsa-mir-3622a	AC013643.3	-0.186	0.277	36	-1.75195305545087	-6.4072927711755	251
hsa-mir-363	AC002407.1	-0.0193	0.93	23	2.11626046254087	-9.83993325234826	264
hsa-mir-3646	HNF4A	-0.146	0.224	71	-3.77572272572845	6.56767416017164	216
hsa-mir-3651	IARS1	-0.105	0.0925	256	1.7899055388113	5.56275048321798	27
hsa-mir-3651	SNORA84	0.402	0.0183	34	1.7899055388113	3.21716705828981	257
hsa-mir-3652	HSP90B1	0.0897	0.146	264	1.26886437061902	8.83388500201412	11
hsa-mir-3653	AP1B1	0.00339	0.956	269	2.94467100818529	5.31264765766464	0
hsa-mir-3654	CHCHD3	-0.0125	0.883	142	-1.2556049429359	6.00587583445634	142
hsa-mir-3655	IK	-0.29	0.000333	149	-1.87183428054078	5.99200647949991	133
hsa-mir-3656	TRAPPC4	0.226	0.437	14	-4.98083638229643	5.90021342663536	276
hsa-mir-3657	NAA25	0.383	0.308	9	-6.80812988218522	2.8193320393568	282
hsa-mir-3658	UCK2	0.405	0.0361	27	-5.17855595255632	5.13210606277426	263
hsa-mir-3659	MIR3659HG	0.427	0.398	6	-6.01404717653295	-3.94543659054083	284
hsa-mir-365a	MIR193BHG	0.266	7.44e-06	276	5.03217200189437	-1.88440435144547	0
hsa-mir-365b	AC003101.1	0.236	0.316	20	5.02819261549933	-6.8425111868486	269
hsa-mir-3662	HBS1L	0.139	0.0353	230	0.0633323156600803	4.14753332912745	52
hsa-mir-3664	SHANK2	0.0133	0.855	191	-1.01087882553015	0.0618404053940409	93
hsa-mir-3667	C22orf34	0.161	0.194	67	-2.49256239431814	-3.57309856248385	220
hsa-mir-3677	AC009065.4	0.0408	0.502	274	3.32488001817066	0.822282613057721	3
hsa-mir-3679	MGAT5	-0.0755	0.355	152	-2.16734219118447	4.90209226032387	137
hsa-mir-3680-2	AC133555.6	0.0967	0.241	149	-2.07263623738842	1.08765470955632	136
hsa-mir-3681	MIR3681HG	0.702	0.505	3	0.940985273071658	-6.73547032925576	288
hsa-mir-3682	ASB3	0.151	0.372	37	0.0232697289921297	-5.56537147707837	252
hsa-mir-3684	METAP1	0.0914	0.226	177	-1.73921199718821	5.06036729557824	108
hsa-mir-3688-2	RAPGEF2	0.109	0.486	43	-4.75904373014167	1.24154292063807	246
hsa-mir-3690-1	CSF2RA	0.136	0.0439	221	-0.630627045821397	1.71173854376213	66
hsa-mir-3691	LYRM4	-0.0438	0.546	193	-1.2608451226824	4.29784838282061	88
hsa-mir-3692	ZDHHC14	0.156	0.667	10	-6.68265270546796	0.714005013129279	281
hsa-mir-370	AL117190.1	0.467	0.0041	36	3.43694159152738	-7.55322901644953	252
hsa-mir-370	MEG8	0.215	0.00198	204	3.43694159152738	-3.35470466190211	78
hsa-mir-374a	FTX	0.122	0.0451	269	10.1585056003797	3.11552326851745	1
hsa-mir-374b	FTX	0.268	6.13e-06	276	6.30115324126015	2.9727918952017	0
hsa-mir-378a	PPARGC1B	0.517	6.99e-20	270	10.7992294493927	1.14904920834948	0
hsa-mir-378d-1	C4orf50	-0.158	0.0766	126	-1.71652148087911	-6.85641223581365	165
hsa-mir-378d-2	MIR378D2HG	-0.0293	0.714	159	-1.4457511315072	-3.49470428641282	131
hsa-mir-378e	DOCK2	-0.439	0.561	4	-8.01948946066952	1.45740992492464	287
hsa-mir-378i	TNFRSF13C	-0.0114	0.934	55	-2.94529365355265	0.205026236269992	232
hsa-mir-379	MEG8	-0.857	0.345	3	9.80921186447217	-12.382660614975	288
hsa-mir-380	MEG8	0.0138	0.991	3	-0.0643286193037906	-12.382660614975	288
hsa-mir-381	MIR381HG	-0.806	0.403	3	5.72875755979053	-9.29080186273777	286
hsa-mir-383	SGCZ	0.496	1.18e-07	102	2.31545371428633	-7.03190474198498	187
hsa-mir-3909	TOM1	0.0844	0.211	221	-0.963697589458264	4.68419832078642	56
hsa-mir-3910-2	ROR2	-0.222	0.376	18	-4.52743357899048	-5.63347056166376	273
hsa-mir-3911	AL162426.1	0.0697	0.735	26	-3.82199661991438	-3.0084775648427	264
hsa-mir-3911	PTRH1	-0.024	0.941	12	-3.82199661991438	-5.28446157607758	279
hsa-mir-3914-2	GALNT17	0.369	0.76	3	-7.79568852758935	-2.51434878993779	286
hsa-mir-3915	DMD	-1	0.0167	3	-9.24826642297781	-2.03061222641613	288
hsa-mir-3917	STMN1	0.234	0.000133	261	1.21694021605744	6.85522256258015	12
hsa-mir-3919	IQCJ-SCHIP1	0.0878	0.836	8	-7.48205913394932	1.51942975245397	282
hsa-mir-3920	TRPC6	-0.111	0.393	61	-3.98327190410699	-1.24852889308025	226
hsa-mir-3921	FILIP1L	-0.0716	0.909	5	-7.85574830137894	-6.4311022453471	285
hsa-mir-3922	CHST11	0.165	0.0126	227	-0.969016546852177	1.88552145337952	64
hsa-mir-3926-1	LONRF1	-0.0993	0.313	105	-3.01217398322952	2.78210181622371	184
hsa-mir-3936	MIR3936HG	0.128	0.309	65	-3.49506148928886	0.116084275520567	226
hsa-mir-3938	ERC2	-0.253	0.512	9	-7.14622705712588	-4.38917591915542	282
hsa-mir-3939	Z94721.1	0.103	0.595	29	-4.01265907828398	-3.12375429488207	262
hsa-mir-3939	Z94721.3	0.161	0.264	50	-4.01265907828398	-2.42901653939138	241
hsa-mir-3940	KHSRP	0.0846	0.173	261	1.23299178868228	5.9210188012352	13
hsa-mir-3941	PLEKHA1	0.0221	0.745	220	-1.01416862259649	4.19215846631096	63
hsa-mir-3942	DPH6	0.163	0.0174	213	-0.98817297008156	2.15245556022372	72
hsa-mir-3943	HECW1	0.0199	0.843	102	-2.67267548347176	-1.80724410155479	187
hsa-mir-3943	HECW1-IT1	0.0678	0.899	6	-2.67267548347176	-6.20675587781793	285
hsa-mir-3944	ECHS1	0.355	1.05e-06	179	-1.15779049004163	7.36742071070058	103
hsa-mir-3945	MIR3945HG	0.527	0.0359	16	-5.99742777289075	-2.14707790063185	275
hsa-mir-411	MEG8	0.985	0.11	3	3.3646547828849	-12.382660614975	288
hsa-mir-421	FTX	0.142	0.0186	273	2.51147211795138	2.9727918952017	7
hsa-mir-423	NSRP1	0.133	0.0296	266	7.50818861768121	4.25484483205252	0
hsa-mir-424	MIR503HG	0.407	1.17e-08	182	7.06310677898679	-2.56610884326456	103
hsa-mir-425	DALRD3	0.00456	0.941	266	8.53784247547707	0.936459700853076	3
hsa-mir-4296	CTBP2	0.595	0.405	4	-8.18953555304962	5.59304268221432	287
hsa-mir-4306	CLYBL	-0.23	0.258	26	-5.32648567523904	3.57273151447892	262
hsa-mir-431	AL117190.1	0.278	0.0961	37	3.73440478156432	-7.55322901644953	252
hsa-mir-4315-1	PLEKHM1	0.125	0.714	11	-6.2231205297943	2.99529094737678	280
hsa-mir-432	AL117190.1	0.376	0.0258	35	3.13969524525396	-7.55322901644953	252
hsa-mir-4320	MYO5B	0.472	0.344	6	-7.12174934529242	3.50064926369688	284
hsa-mir-4326	ARFGAP1	0.142	0.027	241	3.16261340566338	5.41221075536992	25
hsa-mir-433	AL117190.1	0.14	0.43	34	0.96824288283132	-7.55322901644953	254
hsa-mir-4420	LAPTM5	-0.352	0.288	11	-5.30642503218957	6.05156934032972	279
hsa-mir-4422	MIR4422HG	-0.591	0.294	5	-4.9218968425905	-7.97877979689454	286
hsa-mir-4426	RPS27AP5	0.012	0.95	30	-4.62648940781088	1.53523208119557	255
hsa-mir-4427	KCNK1	0.129	0.784	7	-6.85735812331949	4.19980555943321	282
hsa-mir-4428	RYR2	-0.753	0.457	3	-8.1804343563658	-2.03285813140881	287
hsa-mir-4434	AFTPH	-0.051	0.595	111	-2.42795547368594	3.82846460855388	174
hsa-mir-4435-1	AC133644.2	-0.0385	0.814	40	-4.54991099411791	0.436094489035684	250
hsa-mir-4435-1	CYTOR	0.123	0.476	36	-4.54991099411791	-2.8831410931627	255
hsa-mir-4435-2	MIR4435-2HG	-0.354	0.0368	35	-4.6217505340194	2.75980855273471	254
hsa-mir-4436b-1	MALL	0.267	0.283	18	-4.30454970377876	6.1415099399338	270
hsa-mir-4436b-2	AC140479.4	0.379	0.148	16	-4.78485378835375	-0.345649738151292	274
hsa-mir-4442	TOP2B	-0.248	0.101	45	-1.26020971669624	-0.929128957082455	245
hsa-mir-4444-1	HNRNPA3	0.029	0.674	212	-1.09404505799241	6.97832050545099	69
hsa-mir-4444-2	AC117481.1	0.591	0.409	4	-0.395891141698844	-8.6385038660314	286
hsa-mir-4446	SIDT1	0.276	0.000302	167	-0.919241563777341	1.78291984243766	121
hsa-mir-4449	DANCR	0.101	0.11	253	1.47960470813425	6.14396258649877	25
hsa-mir-4449	LINC01618	-0.2	0.117	63	1.47960470813425	-6.65748366559501	227
hsa-mir-4451	ARHGAP24	-0.2	0.264	33	-4.15335010525242	-1.18509272158008	253
hsa-mir-4453	MIR4453HG	0.0793	0.294	177	-1.6374683775716	0.619506030305346	110
hsa-mir-4458	MIR4458HG	-0.195	0.675	7	-7.33108084898014	-0.388522795698453	284
hsa-mir-4461	PCBD2	0.044	0.5	238	0.491108861122098	2.8359574210982	40
hsa-mir-4464	AL132996.1	0.384	0.749	3	-7.08616406844268	-7.48082497492733	288
hsa-mir-4467	LRWD1	-0.518	0.234	7	-6.81378769823254	3.60850966156136	282
hsa-mir-4469	RNF170	-0.115	0.375	62	-3.74016640565699	3.51675213540161	227
hsa-mir-4473	MLLT3	0.164	0.0102	246	0.0973756057013671	3.4579680454862	38
hsa-mir-4474	MLLT3	-0.136	0.143	118	-2.81271907038507	3.45545138122836	168
hsa-mir-4476	PAX5	0.855	0.348	3	-6.47351656260919	-0.30950210864955	288
hsa-mir-4479	TRAF2	-0.0502	0.584	121	-2.43715577491466	4.13540046446391	161
hsa-mir-448	HTR2C	-0.053	0.901	8	-7.38108374032656	-4.79737121423754	283
hsa-mir-4480	CAMK1D	-0.532	0.0192	19	-5.22157120801726	2.78451404007614	270
hsa-mir-4489	SIPA1	-0.143	0.642	13	-6.13546796627545	3.50669074090175	276
hsa-mir-4496	AC007569.1	-0.19	0.515	14	-6.3259196142811	-2.30871119376172	276
hsa-mir-4498	GCN1	0.0211	0.928	21	-5.55822828620057	4.60315276118921	266
hsa-mir-449a	CDC20B	0.58	1.57e-05	48	-2.87873262780254	-5.68263997341146	242
hsa-mir-449b	CDC20B	0.0416	0.866	19	-4.66562910285407	-5.68263997341146	272
hsa-mir-449c	CDC20B	0.485	0.131	11	-6.42817225656211	-5.68263997341146	280
hsa-mir-4501	HS6ST3	0.282	0.498	8	-5.77156533258969	-7.91452342184645	283
hsa-mir-4504	L2HGDH	0.525	0.119	10	-7.13220557346349	2.09747683480337	281
hsa-mir-4506	ASB2	0.665	0.149	6	-6.56175904620182	1.18723814282833	284
hsa-mir-4511	DENND4A	-0.0622	0.719	36	-4.42263454738475	1.7087225107456	254
hsa-mir-4512	SNAPC5	-0.111	0.671	17	-5.12879545850013	4.46251310799213	272
hsa-mir-4515	AC024270.1	0.0932	0.811	9	-3.05490926853728	-7.63070499487865	282
hsa-mir-4517	AC009093.11	0.0145	0.975	7	-3.71521939587285	-1.6370255643621	284
hsa-mir-4517	NFATC2IP	0.00187	0.987	74	-3.71521939587285	4.18642173740855	215
hsa-mir-4518	ITGAL	-0.419	0.483	5	-6.96809022454449	1.45872508486052	283
hsa-mir-4519	BCL7C	-0.216	0.042	89	-2.89547688681155	2.05497283809174	197
hsa-mir-451a	AC024267.1	0.057	0.791	24	8.28204948533822	-7.79069159344626	261
hsa-mir-452	GABRE	0.431	7.61e-14	275	7.06392192456755	2.14210305377987	1
hsa-mir-4523	AC068025.2	0.389	0.17	14	-2.84613603706954	-3.55107438034803	274
hsa-mir-4523	TAOK1	-0.086	0.4	98	-2.84613603706954	2.71572503083598	191
hsa-mir-4524a	ABCA6	-0.0269	0.867	41	-3.19371715850076	-1.94524928219317	248
hsa-mir-4525	RAB40B	0.0746	0.478	93	-2.73587735661007	3.91692734194814	193
hsa-mir-4526	LDLRAD4	-0.508	0.0534	15	-6.02790571026188	1.34722145848529	276
hsa-mir-4528	DCC	-0.488	0.512	4	-8.70933385178001	-4.64774293965409	287
hsa-mir-4533	MIR646HG	0.428	0.338	7	-5.17642341379735	-5.57009201154592	283
hsa-mir-454	SKA2	0.0419	0.491	272	2.90860187453085	4.92977873626808	8
hsa-mir-455	COL27A1	0.278	1.93e-06	285	7.55756480596282	1.99416651757608	0
hsa-mir-4632	TNFRSF1B	-0.0646	0.517	103	-2.11405213391477	4.69208272578338	177
hsa-mir-4635	SLC12A7	0.0928	0.723	17	-5.88254722487263	4.82836632077665	273
hsa-mir-4636	SEMA5A	0.365	1.68e-08	225	-0.0902756254444077	2.57131498901278	58
hsa-mir-4637	ANKH	-0.434	0.093	16	-5.61137405296129	4.27873819959657	274
hsa-mir-4639	MYLIP	-0.346	0.098	24	-5.4006569958054	3.57489266272176	266
hsa-mir-4640	DDR1	-0.0826	0.325	144	-2.11491070646638	6.77171847220503	136
hsa-mir-4641	FOXP4	-0.29	0.386	11	-6.34260003416036	5.36623398645717	279
hsa-mir-4642	CDC5L	-0.0655	0.796	18	-6.12397781542866	3.52170596776694	273
hsa-mir-4644	FAM120B	-0.653	0.112	7	-7.53270828398735	3.28075131458702	283
hsa-mir-4645	SERPINB9P1	-0.00113	0.989	166	-1.89936505543827	-0.667703870854874	122
hsa-mir-4646	ABHD16A	-0.164	0.324	38	-3.85438907943296	5.43246141929176	247
hsa-mir-4646	AL662899.1	0.195	0.361	24	-3.85438907943296	-0.929217526950067	265
hsa-mir-4647	SLC35B2	0.0233	0.838	80	-3.3240287695902	5.77607249013607	206
hsa-mir-4648	LFNG	-0.00582	0.962	69	-3.65458999827364	6.03221629845465	219
hsa-mir-4649	AEBP1	0.0113	0.912	99	-2.87625628416826	6.34763827763278	190
hsa-mir-4651	POR	-0.0736	0.684	33	-4.19359024295558	5.86551951354779	251
hsa-mir-4652	GNGT1	0.302	0.000137	155	0.727919364988004	-4.3259005240376	134
hsa-mir-4653	AP1S1	-0.0927	0.585	37	-4.64838149311193	6.97921863814427	251
hsa-mir-4654	NOS1AP	0.0511	0.727	49	-4.28893450898705	0.698652983617462	240
hsa-mir-4655	AC069288.1	0.248	0.635	6	-7.53849606729507	-0.445534020497941	284
hsa-mir-4655	MAD1L1	0.389	0.388	7	-7.53849606729507	3.53467759194592	283
hsa-mir-4657	PURB	-0.069	0.591	63	-3.98674387306776	3.07218073371742	226
hsa-mir-4658	MAP11	0.0772	0.548	63	-3.42948271875271	3.7715209393249	224
hsa-mir-4659a	AGPAT5	0.0577	0.63	72	-3.34475507312486	4.07369965715625	215
hsa-mir-4660	ERI1	0.344	3.72e-06	172	-1.17585264330498	-2.123923228619	118
hsa-mir-4661	LRRC69	0.342	7.59e-09	271	2.40329999398463	-1.93108090659197	12
hsa-mir-4664	FAM83H	0.183	0.00567	228	-0.0854801623845432	5.27863584003917	48
hsa-mir-4666b	IL1RAPL1	0.95	0.203	3	-8.6006324455502	-5.96654270450165	288
hsa-mir-4667	TESK1	-0.374	0.00753	50	-3.96479950739399	4.50887608792367	238
hsa-mir-4668	UGCG	-0.161	0.00898	262	0.488674258367541	3.67720989879578	18
hsa-mir-4669	RXRA	0.052	0.814	23	-4.34603165611116	4.01031528236033	262
hsa-mir-4670	ECM2	-0.629	0.0285	12	-6.75855207636597	1.08424006821107	279
hsa-mir-4672	AK1	-0.0431	0.845	23	-5.62767971837974	6.32967600909963	267
hsa-mir-4672	AL157935.2	-0.232	0.276	24	-5.62767971837974	0.920690816192004	267
hsa-mir-4673	NOTCH1	0.0959	0.578	36	-5.04394408357845	4.04353585823826	251
hsa-mir-4676	MCU	0.301	6.5e-07	263	0.182285493510583	4.3042929463355	23
hsa-mir-4677	SDCCAG8	0.105	0.0837	271	2.6712794456717	2.51099437020076	7
hsa-mir-4680	PDCD4	-0.0593	0.609	77	-3.20648501745902	5.8991979421019	206
hsa-mir-4681	GRK5	0.949	0.0508	4	-8.02003758682375	1.81477146353067	287
hsa-mir-4683	FZD8	-0.267	0.0131	86	-3.15152172455646	1.62812991698826	201
hsa-mir-4684	EPHB2	0.347	6.16e-07	196	-0.877209940080277	5.87940252139532	87
hsa-mir-4685	HPS1	0.151	0.0567	159	-1.40911178414914	4.97222979412703	113
hsa-mir-4687	STIM1	-0.106	0.252	119	-2.26824767722391	3.92365440210852	164
hsa-mir-4688	DGKZ	-0.302	0.561	6	-7.76968564733084	5.27320141825847	283
hsa-mir-4690	PCNX3	0.0549	0.652	70	-3.69330658169874	4.28111794081989	217
hsa-mir-4691	NDUFS8	0.0996	0.457	58	-3.7397149846766	7.06763718144794	227
hsa-mir-4695	ALDH4A1	-0.0671	0.844	11	-6.6179900646655	4.09059436629712	278
hsa-mir-4696	CHRDL2	-0.419	0.0415	24	-5.66682672344151	3.25312718324913	267
hsa-mir-4697	IGSF9B	-0.11	0.609	24	-5.38341720861384	-0.934496799612797	267
hsa-mir-4699	ACSS3	-0.473	0.064	16	-6.16377055171841	-0.451913824070226	272
hsa-mir-4700	UNC119B	-0.0576	0.648	65	-3.5205570337729	3.4256927377715	225
hsa-mir-4701	ADCY6	0.0553	0.731	41	-4.34187167888244	4.09865803315401	248
hsa-mir-4705	FGF14	0.235	0.488	11	-6.75565629159314	-3.97504022049983	280
hsa-mir-4706	CHURC1-FNTB	-0.705	0.183	5	-6.99245642513931	-1.1646711854064	286
hsa-mir-4706	FNTB	-0.331	0.351	10	-6.99245642513931	3.20728685782197	281
hsa-mir-4707	AL132780.3	0.152	0.0634	149	-1.17558905690755	2.78301140806414	139
hsa-mir-4707	HAUS4	0.115	0.129	177	-1.17558905690755	4.88159640170289	106
hsa-mir-4709	NPC2	0.0994	0.165	197	-1.1808074984789	7.67546802466664	85
hsa-mir-4712	GABPB1-AS1	-0.214	0.482	13	-6.76796968160447	1.86527667274599	278
hsa-mir-4713	MIR4713HG	-0.0463	0.642	103	-2.25146636256692	-2.46139880223669	185
hsa-mir-4714	IGF1R	-0.0898	0.325	122	-2.74227607867848	2.50628057095755	169
hsa-mir-4715	ATP10A	-0.432	0.0572	20	-5.99800718573638	-0.162162134547583	271
hsa-mir-4720	GAN	-0.31	0.55	6	-7.31339044186456	0.86436762662862	285
hsa-mir-4721	TUFM	0.585	0.0281	14	-5.48565621706115	7.8003655084903	276
hsa-mir-4722	PIEZO1	-0.381	0.145	16	-5.8351842500683	5.58749691312202	273
hsa-mir-4723	AC002094.1	-0.205	0.66	7	-4.31022245702157	-4.85779492921266	284
hsa-mir-4723	TMEM199	-0.306	0.0697	36	-4.31022245702157	3.67728590833266	249
hsa-mir-4724	RAB11FIP4	0.232	0.00049	222	-0.131107132266956	3.09964415980845	57
hsa-mir-4726	MLLT6	-0.0546	0.534	132	-2.35599914421831	5.07735381781416	153
hsa-mir-4728	ERBB2	0.0543	0.405	238	0.596621964373195	6.10225017928305	27
hsa-mir-4729	YPEL2	0.558	0.0476	13	-5.71579062338341	2.42361994455419	276
hsa-mir-4730	ENDOV	0.343	0.366	9	-6.79419060041426	2.13605650103933	280
hsa-mir-4731	PMP22	-0.232	0.312	21	-4.91519956209145	5.29547064329098	266
hsa-mir-4732	AC024267.1	-0.73	0.0107	11	-1.23764224661364	-7.79069159344626	275
hsa-mir-4733	AC138207.2	0.112	0.247	108	-2.34826016809432	-2.16385925793398	181
hsa-mir-4735	KCNT2	-0.466	0.351	6	-6.78551007950545	-3.58787915554307	282
hsa-mir-4737	HEATR6	0.552	0.199	7	-6.96417764054464	1.01426263472757	283
hsa-mir-4738	H3-3B	-0.173	0.0531	126	-2.29847510611765	-2.80553614142321	151
hsa-mir-4741	RBBP8	0.0153	0.867	122	-2.41451141639945	3.13117356747516	165
hsa-mir-4742	WDR26	-0.153	0.0347	191	-1.26718982536208	4.42524874363687	95
hsa-mir-4743	CTIF	-0.162	0.271	48	-4.7050173613338	2.31275050400637	242
hsa-mir-4744	DYM	0.0742	0.736	23	-5.67738538133993	3.79860543259281	266
hsa-mir-4745	PTBP1	-0.0558	0.554	115	-2.19642152853437	7.2875950411021	171
hsa-mir-4747	UHRF1	0.313	0.156	22	-5.52082856271158	3.94989535750654	268
hsa-mir-4748	DNM2	0.0249	0.904	26	-5.46390984557753	6.43347762286049	264
hsa-mir-4749	PTOV1	-0.0429	0.725	70	-3.25661840264456	5.93810214844093	212
hsa-mir-4750	TBC1D17	-0.531	0.0418	15	-5.67863698902563	4.14039239921282	273
hsa-mir-4751	ATF5	-0.0243	0.91	24	-4.92629988736722	4.7693406404256	263
hsa-mir-4753	ARID4B	-0.103	0.381	75	-3.50906686229302	3.01109259114481	211
hsa-mir-4755	RALY	-0.00473	0.957	131	-2.20919513269529	7.92479227537504	151
hsa-mir-4756	BCAS1	0.34	0.00451	68	-3.22551311268127	3.98878389356062	221
hsa-mir-4758	LAMA5	0.139	0.215	81	-3.10702782929002	3.03903247344555	208
hsa-mir-4761	COMT	-0.506	0.247	7	-7.07446465644287	7.09573251840911	282
hsa-mir-4762	ATXN10	0.00859	0.918	147	-2.01786540453953	5.60745727366582	131
hsa-mir-4763	MIRLET7BHG	0.267	0.043	58	-3.64974214291747	-2.19721585634097	233
hsa-mir-4764	LARGE1	-0.54	0.133	9	-7.12015939017383	2.91662665906137	281
hsa-mir-4765	TTC27	-0.353	0.492	6	-7.94558851719019	3.31766199156689	285
hsa-mir-4766	SLC25A17	0.19	0.0121	174	-1.27515490097641	3.72685246278139	108
hsa-mir-4767	STS	0.104	0.62	25	-4.75807950578533	1.95431385397856	261
hsa-mir-4768	NHS	0.0784	0.45	95	-2.7976960114337	-1.08717953132421	192
hsa-mir-4771-2	ANAPC1	0.169	0.278	43	-4.44142446494454	3.5292551057933	247
hsa-mir-4772	IL18RAP	0.617	8.23e-31	281	3.16306752924539	-1.27635485788126	4
hsa-mir-4773-1	TNFAIP6	-0.167	0.303	40	-4.52749955113528	2.25410228834947	246
hsa-mir-4774	CERS6	0.435	0.0813	17	-5.88981475854131	4.62773074619985	273
hsa-mir-4775	CCNYL1	0.109	0.268	105	-2.95771817003841	2.89238322108022	183
hsa-mir-4777	ARMC9	-0.249	0.00379	133	-2.36587167247206	0.202897654105716	153
hsa-mir-4779	IMMT	0.036	0.856	28	-4.90564461554565	5.50519064676951	261
hsa-mir-4781	TCEANC2	0.00322	0.968	155	-2.0810957589904	1.00550266990966	127
hsa-mir-4782	SLC35F5	-0.0426	0.7	84	-3.16475691262757	4.27919940190784	200
hsa-mir-4784	MZT2A	0.158	0.0305	188	-0.289773081519823	6.99594595529962	87
hsa-mir-4785	RBMS1	-0.217	0.0776	67	-3.70536298433746	1.41558672874457	222
hsa-mir-4786	NDUFA10	0.179	0.0217	164	0.0437239931765371	-3.37078210165012	125
hsa-mir-4787	DOCK3	0.0346	0.668	156	-1.40952538633531	-3.25398915527713	120
hsa-mir-4789	NAALADL2	0.0244	0.845	67	-3.35469588799439	1.43871010094345	222
hsa-mir-4793	CELSR3	0.0159	0.912	50	-4.01547982754818	0.599089026922484	239
hsa-mir-4794	CACHD1	0.0359	0.862	26	-5.35889662292255	0.93365717909944	265
hsa-mir-4796	ZBTB20	-0.153	0.166	83	-3.49003681618916	-0.748699808452308	204
hsa-mir-4797	DLG1	0.0218	0.746	222	-0.864363343841174	3.90322539083745	67
hsa-mir-4798	SORCS2	-0.71	0.497	3	-8.13803369209898	-2.13588149224842	288
hsa-mir-4799	ARHGAP10	-0.316	0.142	23	-4.36964577195917	1.34709578836296	267
hsa-mir-4800	MXD4	-0.103	0.459	54	-3.3939809834524	4.14815530423282	232
hsa-mir-4802	RBM47	0.0314	0.746	109	-2.61347056544634	5.29900007136075	178
hsa-mir-4804	TNPO1	0.146	0.3	52	-4.44321130051961	4.30304072451569	237
hsa-mir-483	AC132217.2	0.466	0.069	16	6.11134395051659	-6.96983484123809	273
